"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C11,C4,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"22uF";;;
2;"D4,D3,D8,D7,D5,D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
3;"C18";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100uF";;;
4;"BT1";"BatteryHolder_Keystone_1042_1x18650";1;"Battery";;;
5;"C14,C17,C15,C16,C13,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"10uF";;;
6;"R7,R18,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"330E";;;
7;"D2";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1N4001";;;
8;"SW3";"slider";1;"SW_SPST";;;
9;"SW5,SW2,SW1";"SW_SPST_B3U-1000P";3;"SW_Push";;;
10;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
11;"R12,R14,R20,R13,R8,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1k";;;
12;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_Pad";;;
13;"L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"L";;;
14;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k6";;;
15;"J11";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"Conn_01x03_Pin";;;
16;"Q2";"SOT-23";1;"2N3906";;;
17;"C9,C5,C8,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uF";;;
18;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
19;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
20;"U11";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
21;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
22;"R10,R5,R16,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
23;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0";;;
24;"Q3";"SOP65P640X120-8N";1;"FS8205A";;;
25;"BZ1";"MagneticBuzzer_ProSignal_ABI-009-RC";1;"Buzzer";;;
26;"Q4";"SOT-23";1;"2N7002";;;
27;"J7,J8";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Pin";;;
28;"D9";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D_Schottky";;;
29;"Q1";"SOT-23";1;"2N3904";;;
30;"J3,J2";"LINX_CONUFL001-SMD-T";2;"CONUFL001-SMD-T";;;
31;"U5";"A9";1;"A9G";;;
32;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
33;"D1";"TSOP-6_1.65x3.05mm_P0.95mm";1;"SMF05C";;;
34;"SW4";"slider";1;"SW_SPDT";;;
35;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
36;"U8";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
37;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5k1";;;
38;"U2";"SOT-666";1;"USBLC6-2P6";;;
39;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
40;"U10";"SOT95P280X145-6N";1;"DW01A";;;
41;"U9";"SO-8_3.9x4.9mm_P1.27mm";1;"TP4056";;;
42;"J9";"GCT_SIM7100-6-1-15-00-A_REVC";1;"MICRO SIM";;;
